id_municipio,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
5002704,A702,Campo Grande,2001-09-10,-20.447195,-54.722615,528.47
5006606,A703,Ponta Pora,2001-09-07,-22.5525,-55.71638888,668
5008305,A704,Tres Lagoas,2001-09-03,-20.78333333,-51.71222222,328.94
5004700,A709,Ivinhema,2003-02-08,-22.30055555,-53.82277777,377.36
5006309,A710,Paranaiba,2006-11-10,-19.69555555,-51.18166666,408.06
5003207,A717,Nhumirim,2006-08-02,-18.9886111,-56.62277777,102.26
5001102,A719,Aquidauana,2006-11-01,-20.47555554,-55.78388888,151.35
5003306,A720,Coxim,2006-11-06,-18.51222222,-54.7361111,251.48
5004502,A721,Dourados,2006-10-18,-22.19388888,-54.91138888,463.3
5002159,A722,Miranda,2006-11-02,-20.39555555,-56.43166666,132.49
5006903,A723,Porto Murtinho,2006-10-24,-21.70583333,-57.88666666,78.56
5003207,A724,Corumba,2006-10-26,-18.99667,-57.6375,111.73
5002951,A730,Chapadao Do Sul,2006-12-20,-18.80222222,-52.6025,820.82
5005400,A731,Maracaju,2006-12-15,-21.60916666,-55.17749999,388.94
5007695,A732,Sao Gabriel Do Oeste,2006-12-18,-19.42027777,-54.55305555,646
5002902,A742,Cassilandia,2008-03-08,-19.12249999,-51.72083332,494.72
5007208,A743,Rio Brilhante,2008-06-26,-21.774944,-54.528108,324.31
5005152,A749,Juti,2008-06-16,-22.85722222,-54.60555555,375.18
5000609,A750,Amambai,2008-06-11,-23.0025,-55.32944443,433.59
5007703,A751,Sete Quedas,2008-06-03,-23.96694443,-55.02416666,398.4
5004601,A752,Itaquirai,2008-05-28,-23.449501,-54.181858,337.82
5007901,A754,Sidrolandia,2008-09-29,-20.98166666,-54.97194443,471.43
5000203,A756,Agua Clara,2010-08-14,-20.44444444,-52.87583332,323.63
5002100,A757,Bela Vista,2011-08-09,-22.10166666,-56.54083333,206.09
5005004,A758,Jardim,2011-08-04,-21.4786111,-56.13777777,252.47
5001904,A759,Bataguassu,2013-03-21,-21.75,-52.47138888,392.13
5003256,A760,Costa Rica,2012-12-04,-18.49277777,-53.17138888,727.34
5007935,A761,Sonora,2012-11-30,-17.63527777,-54.76055555,495.25
5000856,S701,Angelica,2018-04-09,-22.148083,-53.763736,347
5001243,S702,Aral Moreira,2018-04-13,-22.955028,-55.626,605
5001508,S703,Bandeirantes,2018-01-29,-19.94555555,-54.3686111,624
5002209,S704,Bonito,2018-08-06,-21.24666666,-56.45055555,329
5002308,S705,Brasilandia,2018-04-06,-21.29833333,-52.06888888,345
5002407,S706,Caarapo,2018-03-03,-22.657056,-54.819306,456
5002605,S707,Camapua,2018-02-19,-19.58749999,-54.02999999,540
5003801,S708,Fatima Do Sul,2018-02-28,-22.30861111,-54.32583332,340
5004304,S709,Iguatemi,2018-02-19,-23.64444444,-54.57027777,319
5004502,S710,Itapora,2018-02-26,-22.092833,-54.798833,360
5005251,S711,Laguna Carapa,2018-04-12,-22.575389,-55.160333,499
5006002,S712,Nova Alvorada Do Sul,2018-02-23,-21.450972,-54.341972,5
5006200,S713,Nova Andradina,2018-04-09,-22.0786111,-53.46583333,372
5006408,S714,Pedro Gomes,2018-02-02,-18.07277777,-54.54888888,251
5007109,S715,Ribas Do Rio Pardo,2018-01-18,-20.466694,-53.763028,442
5007554,S716,Santa Rita Do Pardo,2018-02-19,-21.305889,-52.820375,383
5007802,S717,Selviria,2018-04-05,-20.35138888,-51.430277769999996,374
